property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
2131FCF6-45F5-86E8-E063-4804A8C0372B,UB3 3JZ,11,HERMON GROVE,S,2024-04-16,550000,,,,
42C129E4-2AF3-60A9-E063-4804A8C0C25D,UB3 2FQ,"SEAFOX HOUSE, 4",ALBACORE WAY,F,2024-04-17,115000,,,,
2859C1AC-D5DC-52B4-E063-4804A8C05948,UB3 1QY,6,WINDSOR GARDENS,T,2024-04-17,375000,,,,
2131FCF6-41D6-86E8-E063-4804A8C0372B,UB3 2QX,12,ANGEL LANE,T,2024-04-17,380000,,,,
1EAE3DF7-6AE4-9EB1-E063-4704A8C09D02,UB3 3JD,17,HUNTERS GROVE,S,2024-04-18,505000,,,,
1C3E72FE-6AF5-F410-E063-4804A8C0DFA6,UB3 3PS,36,CLIVESDALE DRIVE,T,2024-04-18,266000,,,,
237B17FD-9415-22AC-E063-4804A8C0EA3A,UB3 1PW,CHELTENHAM HOUSE,SKIPTON DRIVE,F,2024-04-19,280000,,,,
2131FCF6-DE52-86E8-E063-4804A8C0372B,UB3 1LQ,2,BADGERS CLOSE,T,2024-04-19,230000,,,,
237B17FE-3B44-22AC-E063-4804A8C0EA3A,UB3 5AD,110,HIGH STREET,T,2024-04-19,429950,,,,
1A0C5C64-015B-7CBE-E063-4804A8C06C96,UB3 3JF,106,HUNTERS GROVE,S,2024-04-19,550000,,,,
1EAE3DF6-25D6-9EB1-E063-4704A8C09D02,UB3 1PF,20,PINKWELL LANE,F,2024-04-22,190000,,,,
2131FCF5-A61D-86E8-E063-4804A8C0372B,UB3 4PA,20,HYDE WAY,S,2024-04-24,275000,,,,
237B17FE-3A12-22AC-E063-4804A8C0EA3A,UB3 5HZ,8,WINDSOR PARK ROAD,T,2024-04-24,380000,,,,
2F7F2B42-A1F0-E08F-E063-4804A8C05A49,UB3 4GE,"FORASTERO HOUSE, 24",FARINE AVENUE,F,2024-04-24,540550,,,,
