unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,paon,street,transaction_category
2859C1AC-35FC-52B4-E063-4804A8C05948,990000,2024-05-10,W13 9UT,T,,F,85,MAYFIELD AVENUE,A
237B17FE-3B1F-22AC-E063-4804A8C0EA3A,608000,2024-05-10,W13 9XW,T,,F,49,RIDLEY AVENUE,A
1C3E72FD-C48D-F410-E063-4804A8C0DFA6,325000,2024-05-13,W13 9XJ,F,,F,21,JEFFERSON CLOSE,A
237B17FD-9213-22AC-E063-4804A8C0EA3A,545500,2024-05-13,W13 9QT,F,,F,179,NORTHFIELD AVENUE,A
38EDC0C3-AE7A-0F63-E063-4704A8C00424,2000000,2024-05-15,W13 8JR,O,,F,69,THE AVENUE,B
1C3E72FE-6943-F410-E063-4804A8C0DFA6,445000,2024-05-16,W13 0JN,F,,F,136,CAVENDISH AVENUE,A
1C3E72FE-6643-F410-E063-4804A8C0DFA6,1100000,2024-05-16,W13 9UG,T,,F,32,WOODSTOCK AVENUE,A
2F7F2B43-3F75-E08F-E063-4804A8C05A49,733000,2024-05-16,W13 9TU,T,,F,1A,SALISBURY ROAD,B
1C3E72FE-659B-F410-E063-4804A8C0DFA6,1790000,2024-05-20,W13 9LP,D,,F,51,RATHGAR AVENUE,A
1C3E72FF-0DC7-F410-E063-4804A8C0DFA6,1300000,2024-05-20,W13 0LW,S,,F,37,ARGYLE ROAD,B
36A61A95-38F3-DEF2-E063-4704A8C046AE,950000,2024-05-21,W13 8AG,O,,F,SINCLAIR HOUSE,,B
1EAE3DF6-C7B8-9EB1-E063-4704A8C09D02,670000,2024-05-22,W13 0BN,S,,F,56,AVALON ROAD,A
1C3E72FE-69A3-F410-E063-4804A8C0DFA6,1085000,2024-05-23,W13 9UX,T,,F,106,MAYFIELD AVENUE,A
1EAE3DF6-214C-9EB1-E063-4704A8C09D02,210000,2024-05-24,W13 0AG,F,,F,DUNLIN HOUSE,GURNELL GROVE,A
25E9DA81-2470-555E-E063-4704A8C066F2,850000,2024-05-24,W13 9TN,T,,F,9,BALFOUR ROAD,A
25E9DA81-1F1F-555E-E063-4704A8C066F2,1035000,2024-05-24,W13 9UG,T,,F,38,WOODSTOCK AVENUE,A
1C3E72FD-C5F7-F410-E063-4804A8C0DFA6,967000,2024-05-28,W13 8QA,F,,F,7,DENBIGH ROAD,A
1C3E72FD-C3E3-F410-E063-4804A8C0DFA6,300000,2024-05-29,W13 0UL,F,,F,PERSHORE HOUSE,SINGAPORE ROAD,A
2F7F2B42-9F1F-E08F-E063-4804A8C05A49,568950,2024-05-30,W13 0TE,F,,F,6A,CONNAUGHT ROAD,A
2859C1AC-FC68-52B4-E063-4804A8C05948,1700000,2024-05-30,W13 0RL,S,,F,16,ECCLESTON ROAD,B
1C3E72FE-E8DA-F410-E063-4804A8C0DFA6,295000,2024-05-31,W13 0HT,F,,F,10,PELHAM PLACE,B
38EDC0C3-9167-0F63-E063-4704A8C00424,400000,2024-05-31,W13 8PH,O,,F,22,THE AVENUE,B
2859C1AC-5CA5-52B4-E063-4804A8C05948,960000,2024-05-31,W13 0BG,S,,F,25,AVALON ROAD,A
1EAE3DF6-230E-9EB1-E063-4704A8C09D02,415000,2024-05-31,W13 8RP,F,,F,11B,ARDEN ROAD,A
25E9DA80-5949-555E-E063-4704A8C066F2,335000,2024-05-31,W13 9LD,F,,F,LIDO HOUSE,NORTHFIELD AVENUE,A
36A61A95-3850-DEF2-E063-4704A8C046AE,3200000,2024-06-04,W13 9SH,O,,F,ZENYATTA HOUSE,CRANMER AVENUE,B
1C3E72FE-6573-F410-E063-4804A8C0DFA6,1113300,2024-06-06,W13 9SX,S,,F,2,NORTHCROFT ROAD,A
1C3E72FE-E8F0-F410-E063-4804A8C0DFA6,420000,2024-06-07,W13 8JR,F,,F,39,THE AVENUE,B
2ACACE8D-0DAA-295E-E063-4804A8C0B0EB,775000,2024-06-07,W13 9DX,T,,F,20,COLDERSHAW ROAD,A
1C3E72FD-C415-F410-E063-4804A8C0DFA6,370000,2024-06-12,W13 9ED,F,,F,47,ADELAIDE ROAD,A
402A3A66-255C-A7DF-E063-4804A8C0B80D,847500,2024-06-13,W13 8EW,F,,F,41A,RAVENSBOURNE GARDENS,A
34222873-2C43-4D2B-E063-4704A8C07853,835000,2024-06-14,W13 0EE,T,,F,8,KINGSLEY AVENUE,B
1EAE3DF6-2277-9EB1-E063-4704A8C09D02,571500,2024-06-14,W13 8PG,F,,F,14,ALBANY ROAD,A
1EAE3DF6-C7F6-9EB1-E063-4704A8C09D02,1245000,2024-06-14,W13 9NB,D,,F,2,CULMINGTON ROAD,A
34222872-8FC8-4D2B-E063-4704A8C07853,370000,2024-06-14,W13 0JY,F,,F,53,CAVENDISH AVENUE,A
36A61A94-3F73-DEF2-E063-4704A8C046AE,450000,2024-06-17,W13 0JZ,F,,F,221,CAVENDISH AVENUE,A
31C68071-AF77-FEE3-E063-4804A8C04F37,252500,2024-06-18,W13 0ND,F,,F,31,CHARLES ROAD,A
1EAE3DF6-C7C3-9EB1-E063-4704A8C09D02,2300000,2024-06-20,W13 8AP,D,,F,7,NORTH AVENUE,A
1EAE3DF6-C486-9EB1-E063-4704A8C09D02,705000,2024-06-20,W13 9YB,T,,F,75,BURNHAM WAY,A
1EAE3DF6-C3FE-9EB1-E063-4704A8C09D02,1535000,2024-06-20,W13 8HE,S,,F,27,BRADLEY GARDENS,A
2F7F2B43-BF80-E08F-E063-4804A8C05A49,520000,2024-06-21,W13 9DN,O,,F,GARDENVIEW HOUSE,NORTHFIELD AVENUE,B
2F7F2B43-BF84-E08F-E063-4804A8C05A49,97500,2024-06-21,W13 9DN,F,,F,GARDENVIEW HOUSE,NORTHFIELD AVENUE,B
2F7F2B43-BF83-E08F-E063-4804A8C05A49,97500,2024-06-21,W13 9DN,F,,F,GARDENVIEW HOUSE,NORTHFIELD AVENUE,B
2F7F2B43-BF81-E08F-E063-4804A8C05A49,520000,2024-06-21,W13 9DN,F,,F,GARDENVIEW HOUSE,NORTHFIELD AVENUE,B
2F7F2B43-BF82-E08F-E063-4804A8C05A49,520000,2024-06-21,W13 9DN,F,,F,GARDENVIEW HOUSE,NORTHFIELD AVENUE,B
2F7F2B43-BF74-E08F-E063-4804A8C05A49,520000,2024-06-21,W13 9DN,F,,F,GARDENVIEW HOUSE,NORTHFIELD AVENUE,B
1EAE3DF6-2264-9EB1-E063-4704A8C09D02,452000,2024-06-26,W13 0FJ,F,,F,PEREGRINE HOUSE,GURNELL GROVE,A
1EAE3DF6-C88A-9EB1-E063-4704A8C09D02,330000,2024-06-26,W13 9PN,F,,F,14,PURSEWARDENS CLOSE,A
2D4D7609-3F64-BDF9-E063-4804A8C0672F,205000,2024-06-27,W13 9TA,F,,F,"MAYO COURT, 133",NORTHCROFT ROAD,A
1EAE3DF6-C778-9EB1-E063-4704A8C09D02,534000,2024-06-27,W13 8HN,T,,F,10,LAKESIDE,A
25E9DA81-2051-555E-E063-4704A8C066F2,962000,2024-06-28,W13 8DF,T,,F,21,BELLEVUE ROAD,A
1EAE3DF6-C349-9EB1-E063-4704A8C09D02,915000,2024-06-28,W13 9TP,S,,F,160,MIDHURST ROAD,A
1EAE3DF6-211B-9EB1-E063-4704A8C09D02,475000,2024-06-28,W13 0DP,F,,F,ASHMEAD HOUSE,TEWKESBURY ROAD,A
25E9DA81-24E3-555E-E063-4704A8C066F2,947500,2024-07-01,W13 9LP,S,,F,19,RATHGAR AVENUE,A
1EAE3DF6-C3DE-9EB1-E063-4704A8C09D02,594950,2024-07-01,W13 0NU,T,,F,52,FELIX ROAD,A
25E9DA81-201C-555E-E063-4704A8C066F2,915000,2024-07-02,W13 9EB,T,,F,96,ADELAIDE ROAD,A
1EAE3DF6-C84C-9EB1-E063-4704A8C09D02,465000,2024-07-03,W13 9XJ,T,,F,14,JEFFERSON CLOSE,A
237B17FE-3A40-22AC-E063-4804A8C0EA3A,1030000,2024-07-04,W13 8RG,S,,F,10,DENMARK ROAD,A
2D4D7608-9088-BDF9-E063-4804A8C0672F,510000,2024-07-04,W13 8JF,F,,F,THE CEDARS,HERONSFORDE,A
25E9DA81-1F3D-555E-E063-4704A8C066F2,875000,2024-07-04,W13 9SY,T,,F,24,NORTHFIELD ROAD,A
2859C1AC-366B-52B4-E063-4804A8C05948,805000,2024-07-05,W13 9HS,T,,F,135,SEAFORD ROAD,A
2131FCF5-AB90-86E8-E063-4804A8C0372B,345000,2024-07-05,W13 8QJ,F,,F,CRAIG HOUSE,HARTINGTON ROAD,A
25E9DA80-555B-555E-E063-4704A8C066F2,422500,2024-07-10,W13 0NW,F,,F,"LUMINOSITY COURT, 49",DRAYTON GREEN ROAD,A
2131FCF6-4104-86E8-E063-4804A8C0372B,362500,2024-07-10,W13 8EW,S,,F,28,RAVENSBOURNE GARDENS,A
25E9DA80-5CBB-555E-E063-4704A8C066F2,990000,2024-07-12,W13 0HA,T,,F,1,HIGHVIEW ROAD,A
2131FCF5-A62F-86E8-E063-4804A8C0372B,500000,2024-07-12,W13 8BQ,F,,F,"GRENVILLE COURT, 3",KENT AVENUE,A
25E9DA81-241F-555E-E063-4704A8C066F2,1280000,2024-07-12,W13 9ED,T,,F,5,ADELAIDE ROAD,A
2ACACE8C-89B4-295E-E063-4804A8C0B0EB,1200000,2024-07-12,W13 8AS,S,,F,30,SHERBORNE GARDENS,A
25E9DA81-1FAC-555E-E063-4704A8C066F2,1071000,2024-07-12,W13 9TR,T,,F,6,NEWLAND GARDENS,A
25E9DA80-5755-555E-E063-4704A8C066F2,500000,2024-07-15,W13 9HS,F,,F,77A,SEAFORD ROAD,A
2D4D7609-3E8C-BDF9-E063-4804A8C0672F,805000,2024-07-15,W13 0AU,S,,F,201,ARGYLE ROAD,A
1EAE3DF6-C806-9EB1-E063-4704A8C09D02,775000,2024-07-15,W13 9SY,S,,F,16,NORTHFIELD ROAD,A
2131FCF6-4757-86E8-E063-4804A8C0372B,990000,2024-07-16,W13 9XT,T,,F,20,MIDHURST ROAD,A
34222871-E877-4D2B-E063-4704A8C07853,795000,2024-07-18,W13 0HB,T,,F,8,HIGHVIEW ROAD,A
2859C1AB-72D7-52B4-E063-4804A8C05948,400550,2024-07-19,W13 9DS,D,,F,60,LEIGHTON ROAD,A
25E9DA80-5808-555E-E063-4704A8C066F2,319000,2024-07-19,W13 9EY,F,,F,86A,SYDNEY ROAD,A
2F7F2B43-42A6-E08F-E063-4804A8C05A49,869000,2024-07-19,W13 9LU,D,,F,23,DUDLEY GARDENS,A
2131FCF6-4245-86E8-E063-4804A8C0372B,890500,2024-07-19,W13 9HU,T,,F,70,SEAFORD ROAD,A
25E9DA81-20B6-555E-E063-4704A8C066F2,1360000,2024-07-22,W13 9PT,T,,F,20,KINGSDOWN AVENUE,A
2131FCF5-A63C-86E8-E063-4804A8C0372B,383000,2024-07-22,W13 0UL,F,,F,PERSHORE HOUSE,SINGAPORE ROAD,A
2131FCF6-41B5-86E8-E063-4804A8C0372B,975000,2024-07-23,W13 9JJ,T,,F,59,WESTFIELD ROAD,A
2131FCF6-4748-86E8-E063-4804A8C0372B,1280000,2024-07-23,W13 9RA,T,,F,68,LEYBORNE AVENUE,A
