certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
0886-3008-4308-7604-3200,W13 0NY,11,FELIX ROAD,133.0,,,
0839-2879-7134-9205-5641,W13 0EQ,47,KINGSLEY AVENUE,119.0,,,
4900-4672-0122-8301-3343,W13 9JZ,23,GLENFIELD ROAD,63.0,,,
4000-2730-1522-6208-0373,W13 8EB,7,MALVERN WAY,98.0,,,
2400-8564-0822-6300-3243,W13 0JE,47,DRAYTON GREEN,139.0,,,
0244-3908-4300-4294-5200,W13 0NY,27,FELIX ROAD,149.0,,,
2018-3008-8308-1104-4204,W13 0NY,29,FELIX ROAD,133.0,,,
7434-4530-4009-0964-8202,W13 0NY,35,FELIX ROAD,133.0,,,
2516-3008-8308-1104-4200,W13 0NY,23,FELIX ROAD,133.0,,,
1900-6362-0822-7322-3643,W13 9XN,23,CHALFONT WAY,124.0,,,
8681-7721-6230-1606-1996,W13 9UB,15,CLEMENTINE CLOSE,55.0,,,
8404-8723-9829-2707-1153,W13 8HB,27,ST STEPHENS ROAD,231.0,,,
2038-0002-7276-4356-7960,W13 9UG,14,WOODSTOCK AVENUE,133.0,,,
0570-2669-8580-2772-8981,W13 9UR,22B,MAYFIELD AVENUE,45.0,,,
0036-9625-0600-0161-2292,W13 9AE,1,CHAPEL ROAD,60.0,,,
1206-9227-6002-0092-1592,W13 9XT,34,MIDHURST ROAD,60.0,,,
7900-1923-0422-4398-3343,W13 9AP,31,BROOMFIELD ROAD,122.0,,,
9300-2628-8390-2007-7205,W13 9HS,65A,SEAFORD ROAD,63.0,,,
0842-2873-6452-0698-2631,W13 9NG,4D,CHURCHFIELD ROAD,65.0,,,
3637-0421-4100-0632-9296,W13 0NU,78,FELIX ROAD,113.0,,,
0448-2858-6975-0798-8505,W13 0TE,3,CONNAUGHT ROAD,43.0,,,
9073-2809-6292-9691-6105,W13 0LD,19,DRAYTON ROAD,41.0,,,
8268-6129-5599-1308-7922,W13 9TN,19,BALFOUR ROAD,79.0,,,
9895-3038-5206-3414-9204,W13 8PQ,5,ALBANY ROAD,147.0,,,
0330-2848-5120-2727-0615,W13 0SP,47,BEDFORD ROAD,90.0,,,
6437-7121-7300-0008-0202,W13 0DJ,55,CLAREMONT ROAD,107.0,,,
2311-3029-6208-4857-7200,W13 0JZ,201,CAVENDISH AVENUE,60.0,,,
0310-3301-8080-2424-6885,W13 0NY,17,FELIX ROAD,133.0,,,
0373-2816-7281-2300-5915,W13 9EY,54,SYDNEY ROAD,105.0,,,
0145-3908-4300-4694-5204,W13 0NY,31,FELIX ROAD,133.0,,,
7890-0539-0932-8003-3043,W13 0NY,39,FELIX ROAD,133.0,,,
8699-7833-5929-5807-2263,W13 9SS,77,NORTHCROFT ROAD,104.0,,,
5434-0022-2300-0386-5292,W13 0DS,18,CHELSEA GARDENS,166.0,,,
0468-1093-6257-7628-7954,W13 0ND,27,CHARLES ROAD,105.0,,,
8090-5379-0522-3195-3093,W13 0HJ,5,ROSEMOUNT ROAD,146.0,,,
2181-3039-8206-7814-5200,W13 9SX,6,NORTHCROFT ROAD,128.0,,,
8900-0153-0922-0329-3643,W13 9PY,40,WALDEMAR AVENUE,89.0,,,
0460-2888-6087-9324-4061,W13 9LB,6A,BROOMFIELD PLACE,50.0,,,
0360-2877-7320-2224-7585,W13 8RG,34,DENMARK ROAD,202.0,,,
9570-3040-7208-7694-8204,W13 9LU,61,DUDLEY GARDENS,125.0,,,
2517-3008-8308-1404-4204,W13 0NY,25,FELIX ROAD,151.0,,,
8334-4530-4009-0934-8206,W13 0NY,37,FELIX ROAD,133.0,,,
9658-3039-5203-2094-7200,W13 9XN,11,CHALFONT WAY,132.0,,,
0892-3035-1207-4104-5200,W13 0DL,4,ROBINSONS CLOSE,96.0,,,
4334-4124-2300-0003-7292,W13 8JR,63,THE AVENUE,190.0,,,
0380-2389-5330-2894-3935,W13 9SR,1,NORTHCROFT ROAD,114.0,,,
9390-3893-3000-2504-2875,W13 0NY,41,FELIX ROAD,133.0,,,
9408-8087-6232-7320-6200,W13 0LZ,93,ARGYLE ROAD,198.0,,,
2080-5509-4090-2292-9105,W13 8JE,10,HERONSFORDE,102.0,,,
0340-2319-3170-2977-5235,W13 9SY,33,NORTHFIELD ROAD,103.0,,,
3734-3628-4400-0766-0202,W13 9LU,53,DUDLEY GARDENS,88.0,,,
0360-2088-2320-2324-7545,W13 9RJ,10B,NORTHFIELD AVENUE,45.0,,,
0340-2716-0250-2294-4581,W13 9EA,11,COLDERSHAW ROAD,152.0,,,
0350-2430-5410-2124-5201,W13 8EW,9,RAVENSBOURNE GARDENS,185.0,,,
2048-7004-7225-5338-9934,W13 0DA,4,LONG ACRE COURT,44.0,,,
0493-3003-9202-4159-4204,W13 9XU,70,CRANMER AVENUE,66.0,,,
