property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
1EAE3DF7-4B09-9EB1-E063-4704A8C09D02,SL6 0PF,14,HURSTFIELD DRIVE,S,2024-02-29,545000,,,,
152AB733-87E8-E651-E063-4704A8C061D9,SL6 0NA,29,MAYPOLE ROAD,S,2024-02-29,460000,,,,
1EAE3DF6-2F50-9EB1-E063-4704A8C09D02,SL6 6SW,62,BEVERLEY GARDENS,S,2024-02-29,495000,,,,
152AB733-860D-E651-E063-4704A8C061D9,SL6 5EH,10,ALWYN ROAD,S,2024-02-29,720000,,,,
1EAE3DF6-2EEC-9EB1-E063-4704A8C09D02,SL6 6HD,1,LINDEN AVENUE,D,2024-02-29,915000,,,,
2859C1AB-830A-52B4-E063-4804A8C05948,SL6 7JB,10,WEST DEAN,T,2024-02-29,370000,,,,
2859C1AB-875E-52B4-E063-4804A8C05948,SL6 8QU,GREENDALE,RAY PARK ROAD,D,2024-03-01,1525000,,,,
152AB733-8366-E651-E063-4704A8C061D9,SL6 1YZ,31,SWANBROOK COURT,F,2024-03-01,140000,,,,
1EAE3DF6-2EFA-9EB1-E063-4704A8C09D02,SL6 6BQ,5,BELMONT VALE,S,2024-03-01,495000,,,,
1EAE3DF6-2FBA-9EB1-E063-4704A8C09D02,SL6 6JP,2,PARKSIDE,D,2024-03-01,765000,,,,
152AB733-85AB-E651-E063-4704A8C061D9,SL6 6DZ,60,PORTLOCK ROAD,T,2024-03-01,480000,,,,
152AB733-83DD-E651-E063-4704A8C061D9,SL6 9ES,STEPPES,LOWER ROAD,S,2024-03-01,970000,,,,
1775CCF6-E5A4-38BA-E063-4704A8C05A7C,SL6 5BN,1,PINE CLOSE,S,2024-03-01,462500,,,,
1EAE3DF6-3046-9EB1-E063-4704A8C09D02,SL6 6AN,20,LYNTON GREEN,T,2024-03-01,460000,,,,
1775CCF6-E5BF-38BA-E063-4704A8C05A7C,SL6 6LE,25D,DERWENT DRIVE,S,2024-03-01,520000,,,,
1EAE3DF6-2F8A-9EB1-E063-4704A8C09D02,SL6 6SS,64,CRANBROOK DRIVE,D,2024-03-01,745000,,,,
1EAE3DF6-316B-9EB1-E063-4704A8C09D02,SL6 1LH,1,MOORLAND WAY,S,2024-03-01,665000,,,,
36A61A94-4AC8-DEF2-E063-4704A8C046AE,SL6 4FW,MAIDEN HOUSE,VANWALL ROAD,F,2024-03-01,185000,,,,
1A0C5C63-0C0A-7CBE-E063-4804A8C06C96,SL6 1SU,9,FOTHERBY COURT,T,2024-03-04,380000,,,,
2D4D7608-A13E-BDF9-E063-4804A8C0672F,SL6 7HZ,"BRIDGEND HOUSE, 4",ISAMBARD CLOSE,F,2024-03-04,273500,,,,
1775CCF6-E451-38BA-E063-4704A8C05A7C,SL6 8DH,24,IN THE RAY,F,2024-03-04,210000,,,,
1A0C5C63-0BD8-7CBE-E063-4804A8C06C96,SL6 3DR,28,MERCIA ROAD,S,2024-03-05,570000,,,,
1775CCF6-ECEF-38BA-E063-4704A8C05A7C,SL6 0PQ,HUNTERCOMBE FARM HOUSE,HUNTERCOMBE LANE SOUTH,D,2024-03-07,1401718,,,,
31C68071-C542-FEE3-E063-4804A8C04F37,SL6 0FS,SPURLAND HOUSE,CORNWALL GARDENS,F,2024-03-08,330000,,,,
2131FCF5-B385-86E8-E063-4804A8C0372B,SL6 3YR,18,CADWELL DRIVE,S,2024-03-08,390000,,,,
2131FCF5-B57A-86E8-E063-4804A8C0372B,SL6 6DF,21,RAYMOND ROAD,D,2024-03-08,735000,,,,
1EAE3DF6-2ED2-9EB1-E063-4704A8C09D02,SL6 3YN,4,GAINSBOROUGH DRIVE,S,2024-03-08,465000,,,,
1C3E72FD-D334-F410-E063-4804A8C0DFA6,SL6 3BG,65,ST CHADS ROAD,S,2024-03-08,400000,,,,
1A0C5C63-0BC6-7CBE-E063-4804A8C06C96,SL6 4LZ,6,TALBOTS DRIVE,D,2024-03-08,925000,,,,
1EAE3DF6-2EE0-9EB1-E063-4704A8C09D02,SL6 3YW,15,KELSEY CLOSE,D,2024-03-08,555000,,,,
1EAE3DF6-3115-9EB1-E063-4704A8C09D02,SL6 6DF,6,RAYMOND ROAD,T,2024-03-08,420000,,,,
1C3E72FD-D2C4-F410-E063-4804A8C0DFA6,SL6 3DF,204,NORTHUMBRIA ROAD,S,2024-03-11,450000,,,,
152AB733-8392-E651-E063-4704A8C061D9,SL6 5HJ,30,SUNDERLAND ROAD,T,2024-03-11,365000,,,,
1775CCF6-E3F0-38BA-E063-4704A8C05A7C,SL6 7LF,3,PEARCE ROAD,S,2024-03-11,477000,,,,
1EAE3DF6-332A-9EB1-E063-4704A8C09D02,SL6 1EX,87,GRENFELL ROAD,T,2024-03-11,417000,,,,
49E87C31-951A-591C-E063-4704A8C00C31,SL6 8BQ,"COTE HOUSE, 43",MOORBRIDGE ROAD,F,2024-03-12,500000,,,,
1EAE3DF6-31C0-9EB1-E063-4704A8C09D02,SL6 1GQ,"DOVE HOUSE, 3",WALLINGFORD WAY,F,2024-03-12,335000,,,,
152AB733-861E-E651-E063-4704A8C061D9,SL6 8NJ,THE HOUSE ON THE CREEK,RAY MEAD ROAD,D,2024-03-12,1200000,,,,
1EAE3DF6-2FE5-9EB1-E063-4704A8C09D02,SL6 1XZ,4,GREEN LANE,D,2024-03-12,725000,,,,
1A0C5C63-0BBB-7CBE-E063-4804A8C06C96,SL6 6JG,5,COURTFIELD DRIVE,T,2024-03-12,520000,,,,
152AB733-85FE-E651-E063-4704A8C061D9,SL6 5EL,72,ALWYN ROAD,D,2024-03-13,765000,,,,
2131FCF5-B3C4-86E8-E063-4804A8C0372B,SL6 2ND,JOLLY GARDENER COTTAGE,MONEYROW GREEN,D,2024-03-14,675000,,,,
152AB733-82EF-E651-E063-4704A8C061D9,SL6 1XJ,32,OLDACRES,D,2024-03-14,760000,,,,
2ACACE8C-93AD-295E-E063-4804A8C0B0EB,SL6 7HZ,"BRIDGEND HOUSE, 4",ISAMBARD CLOSE,F,2024-03-15,335000,,,,
2131FCF5-B43A-86E8-E063-4804A8C0372B,SL6 6EE,21A,POWNEY ROAD,T,2024-03-15,247500,,,,
2859C1AB-847E-52B4-E063-4804A8C05948,SL6 7RT,82,BRIDLE ROAD,D,2024-03-15,590000,,,,
1775CCF6-EA73-38BA-E063-4704A8C05A7C,SL6 0QA,44,HILLMEAD COURT,F,2024-03-15,294000,,,,
1775CCF6-E63D-38BA-E063-4704A8C05A7C,SL6 6LA,3,DERWENT DRIVE,S,2024-03-15,831000,,,,
1EAE3DF7-49A1-9EB1-E063-4704A8C09D02,SL6 7UU,85,HUNGERFORD DRIVE,D,2024-03-15,635000,,,,
