unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,paon,street,transaction_category
25E9DA80-690A-555E-E063-4704A8C066F2,360000,2024-02-09,SL6 2SE,S,,F,16,HARE SHOOTS,A
12A8BAB5-E3B6-2125-E063-4804A8C08CC1,420000,2024-02-09,SL6 3XQ,T,,F,78,LILLIBROOKE CRESCENT,A
1775CCF6-E5E0-38BA-E063-4704A8C05A7C,650000,2024-02-09,SL6 9AJ,T,,F,LEA VIEW COTTAGES,DEAN LANE,A
25E9DA80-6D2B-555E-E063-4704A8C066F2,285000,2024-02-09,SL6 9LL,F,,F,34,GORSE ROAD,A
237B17FD-A560-22AC-E063-4804A8C0EA3A,695000,2024-02-09,SL6 6DP,D,,F,53,ST MARKS ROAD,A
1A0C5C63-0CBB-7CBE-E063-4804A8C06C96,445000,2024-02-09,SL6 8JH,T,,F,TUDOR COURT,LOWER COOKHAM ROAD,A
1C3E72FD-D445-F410-E063-4804A8C0DFA6,248000,2024-02-13,SL6 4QY,F,,F,44,WOOTTON WAY,A
1C3E72FE-EC88-F410-E063-4804A8C0DFA6,186000,2024-02-13,SL6 1AW,F,,F,BURGHLEY COURT,KINGSQUARTER,B
1775CCF6-E57B-38BA-E063-4704A8C05A7C,525000,2024-02-14,SL6 4HY,S,,F,56,RUTLAND ROAD,A
1C3E72FD-D490-F410-E063-4804A8C0DFA6,427500,2024-02-14,SL6 7BD,S,,F,87,CORDWALLIS ROAD,A
1EAE3DF6-2F18-9EB1-E063-4704A8C09D02,1100000,2024-02-14,SL6 1PH,D,,F,OVERTON,EAST ROAD,A
2131FCF5-B62C-86E8-E063-4804A8C0372B,725000,2024-02-14,SL6 1PG,S,,F,9,FOLLY HILL GARDENS,A
152AB733-83CF-E651-E063-4704A8C061D9,4085000,2024-02-14,SL6 9TR,D,,F,BARBARY HOUSE,GIBRALTAR LANE,A
12A8BAB5-E592-2125-E063-4804A8C08CC1,500000,2024-02-15,SL6 3BJ,T,,F,5,PARK LODGE CLOSE,A
1A0C5C63-E5F0-7CBE-E063-4804A8C06C96,605000,2024-02-15,SL6 4RQ,S,,F,20,GREAT HILL CRESCENT,B
152AB733-826D-E651-E063-4704A8C061D9,960000,2024-02-15,SL6 4QJ,D,,F,14,SILVERTREES DRIVE,A
152AB733-8370-E651-E063-4704A8C061D9,885000,2024-02-15,SL6 5DQ,S,,F,71,ST MARKS CRESCENT,A
237B17FD-A599-22AC-E063-4804A8C0EA3A,665000,2024-02-16,SL6 8QF,S,,F,72,RAY LEA ROAD,A
1C3E72FD-D3CF-F410-E063-4804A8C0DFA6,425000,2024-02-16,SL6 2NN,S,,F,GADBRIDGE COTTAGES,FOREST GREEN ROAD,A
1C3E72FD-D405-F410-E063-4804A8C0DFA6,240000,2024-02-16,SL6 2PS,F,,F,SUSSEX LODGE,COURTLANDS,A
1C3E72FD-D38C-F410-E063-4804A8C0DFA6,1300000,2024-02-16,SL6 2JX,D,,F,4,WILLOW DRIVE,A
152AB733-82B6-E651-E063-4704A8C061D9,720000,2024-02-16,SL6 4HY,S,,F,20,RUTLAND ROAD,A
2ACACE8C-9397-295E-E063-4804A8C0B0EB,350000,2024-02-19,SL6 7PY,F,,F,"CHARLBURY HOUSE, 1",MALVERN ROAD,A
152AB733-846C-E651-E063-4704A8C061D9,280000,2024-02-19,SL6 8FZ,F,,F,"MEDWAY HOUSE, 7",KIDWELLS CLOSE,A
1C3E72FD-D389-F410-E063-4804A8C0DFA6,610000,2024-02-20,SL6 6LE,D,,F,51,DERWENT DRIVE,A
152AB733-82B3-E651-E063-4704A8C061D9,415000,2024-02-20,SL6 7UR,S,,F,21,BURCOT GARDENS,A
1C3E72FD-D8B5-F410-E063-4804A8C0DFA6,285000,2024-02-20,SL6 0QA,F,,F,42,HILLMEAD COURT,A
1C3E72FD-D2EC-F410-E063-4804A8C0DFA6,1540000,2024-02-20,SL6 4NB,D,,F,ASHTONS,SANDISPLATT ROAD,A
1C3E72FD-D7C9-F410-E063-4804A8C0DFA6,520000,2024-02-20,SL6 0JT,S,,F,5,RAMBLER CLOSE,A
152AB733-83CE-E651-E063-4704A8C061D9,270000,2024-02-20,SL6 7NB,F,,F,CALDER COURT,GRINGER HILL,A
1EAE3DF6-3133-9EB1-E063-4704A8C09D02,420000,2024-02-21,SL6 4EY,F,,F,"BOYN HILL COURT, 19",BOYN HILL AVENUE,A
1EAE3DF6-334E-9EB1-E063-4704A8C09D02,980000,2024-02-22,SL6 8HT,D,,F,GREENWOOD,ISLET ROAD,A
