certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
8516-6127-6340-1969-1922,SL6 7JR,25,NORTH TOWN MOOR,59.0,,,
5300-6694-8322-4073-1373,SL6 8DP,7,RAY PARK AVENUE,248.0,,,
7700-3932-7209-6157-7200,SL6 7PQ,19,HIGHGROVE PARK,129.0,,,
5400-1073-0822-1325-3943,SL6 0NA,113,MAYPOLE ROAD,101.0,,,
8936-7329-1230-4234-8906,SL6 7PL,61,SANDRINGHAM ROAD,62.0,,,
0140-2237-9080-2029-9895,SL6 3HD,1,APPLECROFT,134.0,,,
0350-2649-9150-2292-3675,SL6 4EX,5,BISHOP COURT,186.0,,,
8506-5166-8329-4907-0713,SL6 3JQ,5,CHURCH VIEW,166.0,,,
0390-2274-9390-2404-2381,SL6 7DR,1,NORFOLK PARK COTTAGES,62.0,,,
9758-7934-6252-8684-9954,SL6 0AU,11,RIVER COURT,64.0,,,
9370-2567-8390-2197-7251,SL6 3JN,MERLINS,LITTLEFIELD GREEN,181.0,,,
2855-3030-3201-2097-4200,SL6 6SA,55,CRANBROOK DRIVE,75.0,,,
8515-7024-3840-8100-9926,SL6 2RP,57,BRUNEL ROAD,53.0,,,
9401-3921-1209-0342-8204,SL6 8NG,5,RAY DRIVE,84.0,,,
5637-8426-5200-0778-7202,SL6 7JR,30,NORTH TOWN MOOR,89.0,,,
6517-5623-9080-0659-3292,SL6 2QT,20,WALKER ROAD,155.0,,,
9330-2730-3300-2097-8115,SL6 1YQ,11,MONYCROWER DRIVE,92.0,,,
6537-1529-8309-0654-2222,SL6 3XF,11,PALMERS CLOSE,68.0,,,
5834-6122-2300-0359-5226,SL6 9DE,81,WESTWOOD GREEN,109.0,,,
6200-6700-8522-4126-1773,SL6 2AB,CHAUNTRY HOUSE,HIGH STREET,744.0,,,
2150-6032-7070-2098-2895,SL6 1EY,153,GRENFELL ROAD,118.0,,,
2488-2018-6218-8045-1944,SL6 8PL,4,WATERS REACH,56.0,,,
3290-6854-0722-0303-3273,SL6 0NB,20,MAYPOLE ROAD,94.0,,,
2216-3020-5201-4737-9200,SL6 7RP,72,BRIDLE ROAD,105.0,,,
9470-3025-0204-2787-8200,SL6 1UD,5,FORLEASE DRIVE,82.0,,,
3390-1486-0022-2329-3273,SL6 1LH,12,MOORLAND WAY,130.0,,,
0100-8739-0422-4625-3463,SL6 1UA,TERTIUS,OLDFIELD ROAD,199.0,,,
2455-3931-4200-3487-5204,SL6 2HY,CANZONA,ASCOT ROAD,96.0,,,
2624-3922-5209-4222-2204,SL6 5LY,4,SHEPHERDS CLOSE,156.0,,,
8102-3175-3522-5306-7603,SL6 1SX,6,FOTHERBY COURT,126.0,,,
0310-2873-6280-2497-1935,SL6 4JD,32,BOYN HILL CLOSE,147.0,,,
0858-9062-6251-9204-4940,SL6 6RH,5,HONEY LANE,140.0,,,
1715-5177-4002-0096-8006,SL6 4PP,HIGH TREES,ALTWOOD CLOSE,111.0,,,
7500-3900-6200-5017-6204,SL6 9BU,ALMORA,STATION ROAD,101.0,,,
